customer_key,customer_id,customer_name,segment,city,state,country,postal_code
91,SC-20695,Steve Chapman,Corporate,Manila,National Capital,United States,54601.0
92,NC-18625,Noah Childs,Corporate,Rome,New South Wales,Australia,17403.0
93,NF-18385,Natalie Fritzler,Consumer,Xinzhou,Shanxi,United States,43055.0
94,PM-18940,Paul MacIntyre,Consumer,Boulogne-Billancourt,Ile-de-France,France,77590.0
95,MZ-17335,Maria Zettner,Home Office,Gold Coast,Queensland,Australia,85023.0
96,HM-4980,Henry MacAllister,Consumer,Kindu,Lori,Democratic Republic of the Congo,
97,RW-19540,Rick Wilson,Corporate,Brentwood,California,United States,85204.0
98,LH-17155,Logan Haushalter,Consumer,Amadora,California,United States,90032.0
99,KM-16660,Khloe Miller,Consumer,Hobart,California,Indonesia,30076.0
100,AB-10060,Adam Bellavance,Home Office,New York City,New York,United States,10009.0
101,DB-13060,Dave Brooks,Consumer,Zapopan,Jalisco,United States,60076.0
102,VM-21685,Valerie Mitchum,Home Office,Santo Domingo,Santo Domingo,United States,98105.0
103,DM-13525,Don Miller,Corporate,Mexico City,Distrito Federal,United States,10035.0
104,NM-18520,Neoma Murray,Consumer,Rome,Lazio,United States,10011.0
105,RO-19780,Rose O'Brian,Consumer,Melbourne,Victoria,United States,77070.0
106,SB-20185,Sarah Brown,Consumer,Pistoia,Tuscany,United States,90045.0
107,EM-14065,Erin Mull,Consumer,Adelaide,South Australia,Australia,10024.0
108,RS-19765,Roland Schwarz,Corporate,Chinandega,South Carolina,United States,10550.0
109,ON-18715,Odella Nelson,Corporate,Clinton,Distrito Federal,United States,20735.0
110,VS-21820,Vivek Sundaresam,Consumer,Zigong,Queensland,Australia,27604.0
111,CM-12115,Chad McGuire,Consumer,Ho Chi Minh City,Ho Chí Minh City,Vietnam,10011.0
112,TB-21400,Tom Boeckenhauer,Consumer,Tokyo,Tokyo,United States,74133.0
113,AB-10105,Adrian Barton,Consumer,Houston,Texas,United States,77041.0
114,DW-13540,Don Weiss,Consumer,Granada,Andalusía,Spain,98105.0
115,PS-19045,Penelope Sewall,Home Office,Jieyang,Carinthia,United States,22801.0
116,CC-12370,Christopher Conant,Consumer,Bogor,Jawa Barat,United States,19120.0
117,TC-21295,Toby Carlisle,Consumer,Westminster,Aquitaine,United States,92683.0
118,GM-14440,Gary McGarr,Consumer,Quito,Pichincha,United States,10009.0
119,SV-20815,Stuart Van,Corporate,Mexico City,Distrito Federal,Mexico,77041.0
120,MM-17920,Michael Moore,Consumer,Masaya,Masaya,United States,13440.0
121,JK-16120,Julie Kriz,Home Office,Coyoacán,Distrito Federal,United States,78745.0
122,DJ-13510,Don Jones,Corporate,Langen,Jalisco,Brazil,72209.0
123,AT-10435,Alyssa Tate,Home Office,Los Angeles,California,Indonesia,90004.0
124,AB-10015,Aaron Bergman,Consumer,Mackay,Queensland,Australia,98103.0
125,RP-19390,Resi Pölking,Consumer,Seattle,Washington,United States,98103.0
126,MJ-17740,Max Jones,Consumer,Carrefour,Cortés,United States,33178.0
127,PV-18985,Paul Van Hugh,Home Office,Franca,São Paulo,United States,77573.0
128,SB-20290,Sean Braxton,Corporate,Henderson,Kentucky,United States,19134.0
129,SM-10005,Sally Matthias,Consumer,Kaspiysk,Dagestan,Russia,
130,KH-16330,Katharine Harms,Corporate,Darbhanga,Bihar,United States,10024.0
131,MP-18175,Mike Pelletier,Home Office,Ho Chi Minh City,California,United States,53209.0
132,LH-17020,Lisa Hazard,Consumer,Tlaquepaque,Jalisco,Mexico,80027.0
133,ND-18370,Natalie DeCherney,Consumer,Florencia,Caquetá,United States,94110.0
134,CR-12625,Corey Roper,Home Office,Surabaya,Jawa Timur,Indonesia,8701.0
135,GM-14680,Greg Matthias,Consumer,Carrefour,California,Australia,95123.0
136,RA-19945,Ryan Akin,Consumer,Bangkok,Apulia,United States,33178.0
137,BW-11110,Bart Watters,Corporate,New York City,New South Wales,United States,10024.0
138,RF-19735,Roland Fjeld,Consumer,Leeds,England,United States,48183.0
139,AG-10675,Anna Gayman,Consumer,Bacoor,Calabarzon,United States,77036.0
140,DM-12955,Dario Medina,Corporate,Adelaide,South Australia,Cuba,48146.0
141,KD-16270,Karen Daniels,Consumer,Houston,Texas,United States,77095.0
142,BE-11335,Bill Eplett,Home Office,Liaocheng,Shandong,China,13440.0
143,SO-20335,Sean O'Donnell,Consumer,Columbia,New York,United States,11550.0
144,DK-12835,Damala Kotsonis,Corporate,Huehuetenango,California,United States,93905.0
145,LC-7050,Liz Carlisle,Consumer,Batna,Batna,Algeria,
146,CG-12520,Claire Gute,Consumer,Nice,Guatemala,France,42420.0
147,TB-21280,Toby Braunhardt,Consumer,São Paulo,São Paulo,United States,20016.0
148,HG-15025,Hunter Glantz,Consumer,Ingolstadt,Bavaria,United States,11572.0
149,AD-10180,Alan Dominguez,Home Office,Jakarta,Jakarta,United States,59405.0
150,BP-11155,Becky Pak,Consumer,Fontenay-aux-Roses,Ile-de-France,United States,7501.0
151,AA-10480,Andrew Allen,Consumer,Detroit,Michigan,United States,48234.0
152,RL-19615,Rob Lucas,Consumer,Chicago,Illinois,United States,60610.0
153,CS-12505,Cindy Stewart,Consumer,Clermont-Ferrand,Auvergne,United States,43130.0
154,SW-20245,Scot Wooten,Consumer,Manila,Victoria,United States,19140.0
155,TA-21385,Tom Ashbrook,Home Office,Colima,Colima,Mexico,10024.0
156,YC-21895,Yoseph Carroll,Corporate,Nice,Provence-Alpes-Côte d'Azur,France,19711.0
157,JM-15580,Jill Matthias,Consumer,Balneário Camboriú,San Salvador,Brazil,28110.0
158,MZ-7335,Maria Zettner,Home Office,Antalya,Antalya,Turkey,
159,JF-15295,Jason Fortune-,Consumer,Melbourne,Victoria,United States,84321.0
160,JL-15835,John Lee,Consumer,Los Angeles,California,United States,40475.0
161,DJ-3510,Don Jones,Corporate,Zhytomyr,Zhytomyr,Ukraine,
162,MF-18250,Monica Federle,Corporate,Manila,National Capital,United States,72209.0
163,JE-15610,Jim Epp,Corporate,Lakeland,Florida,United States,33801.0
164,CP-12340,Christine Phan,Corporate,New York City,New York,United States,10024.0
165,EH-14125,Eugene Hildebrand,Home Office,Apopa,San Salvador,United States,26003.0
166,NC-18340,Nat Carroll,Consumer,Fargo,Jakarta,United States,48911.0
167,JS-16030,Joy Smith,Consumer,Hattiesburg,Mississippi,United States,39401.0
168,AM-10360,Alice McCarthy,Corporate,Los Angeles,England,United States,90032.0
169,JF-15190,Jamie Frazer,Consumer,Phnom Penh,Phnom Penh,United States,6040.0
170,JG-15160,James Galang,Consumer,Bochum,England,United States,90049.0
171,DP-13390,Dennis Pardue,Home Office,Ancona,California,United States,89031.0
172,AG-10330,Alex Grayson,Consumer,Cainta,Calabarzon,United States,77095.0
173,GK-14620,Grace Kelly,Corporate,Hamm,California,United States,90049.0
174,NF-18475,Neil Französisch,Home Office,Tegucigalpa,England,Germany,32216.0
175,DR-12940,Daniel Raglin,Home Office,Sydney,New South Wales,United States,2038.0
176,NB-18655,Nona Balk,Corporate,Zamora,Castile and León,United States,53209.0
177,NM-18445,Nathan Mautz,Home Office,New York City,New York,United States,10024.0
178,NP-18670,Nora Paige,Consumer,Frankfurt,Hesse,Germany,8701.0
179,SC-20380,Shahid Collister,Consumer,Caracas,Distrito Capital,United States,30318.0
180,PA-9060,Pete Armstrong,Home Office,Owo,Ondo,Nigeria,
181,RB-19570,Rob Beeghly,Consumer,Haarlem,North Holland,Spain,47201.0
182,SR-20740,Steven Roelle,Home Office,Madrid,Francisco Morazán,United States,10024.0
183,RH-19510,Rick Huthwaite,Home Office,Mérida,California,United States,2908.0
184,LH-16750,Larry Hughes,Consumer,Zapopan,Jalisco,Mexico,19140.0
185,KB-16585,Ken Black,Corporate,Choluteca,Choluteca,United States,70506.0
186,EM-13810,Eleni McCrary,Corporate,Caloundra,Queensland,United States,10009.0
187,MZ-7515,Mary Zewe,Corporate,Shiraz,Fars,Iran,
188,DM-13345,Denise Monton,Corporate,Turin,Piedmont,United States,94109.0
189,CA-11965,Carol Adams,Corporate,Belo Horizonte,Saxony,United States,77642.0
190,SC-20305,Sean Christensen,Consumer,Adelaide,South Australia,United States,19140.0
191,MH-18115,Mick Hernandez,Home Office,Jackson,Michigan,United States,49201.0
192,KS-16300,Karen Seio,Corporate,Guantánamo,Guantánamo,Cuba,27604.0
193,BG-11740,Bruce Geld,Consumer,Bayeux,Paraíba,France,90008.0
194,CR-2625,Corey Roper,Home Office,Port Said,Bur Sa'id,Egypt,
195,CB-12415,Christy Brittain,Consumer,León,Panama,United States,60653.0
196,AP-10720,Anne Pryor,Home Office,Los Angeles,California,United States,90032.0
197,CR-12820,Cyra Reiten,Home Office,Patna,Bihar,India,10035.0
198,BF-11080,Bart Folk,Consumer,Adelaide,South Australia,Australia,21215.0
199,JM-15265,Janet Molinari,Corporate,Sydney,New South Wales,Australia,60653.0
200,TW-21025,Tamara Willingham,Home Office,Seattle,Washington,United States,98105.0
201,RB-19330,Randy Bradley,Consumer,León,Guanajuato,Mexico,78745.0
202,JA-15970,Joseph Airdo,Consumer,Tegucigalpa,Francisco Morazán,United States,48227.0
203,AB-60,Adam Bellavance,Home Office,Marrakech,Marrakech-Tensift-El Haouz,Iraq,
204,JR-5670,Jim Radford,Consumer,Baghdad,Baghdad,Czech Republic,
205,MD-17350,Maribeth Dona,Consumer,Brasília,Federal District,United States,19143.0
206,PK-19075,Pete Kriz,Consumer,New York City,New York,United States,10011.0
207,TP-21130,Theone Pippenger,Consumer,Bangkok,Bangkok,United States,48227.0
208,JK-15640,Jim Kriz,Home Office,Santo Domingo,Santo Domingo,United States,98105.0
209,CD-11920,Carlos Daly,Consumer,Oyonnax,Panama,France,10035.0
210,JL-5835,John Lee,Consumer,Baku,Baki,Azerbaijan,
211,EP-13915,Emily Phan,Consumer,Houston,California,United States,77036.0
212,MS-17770,Maxwell Schwartz,Consumer,Seattle,England,United States,98105.0
213,CM-12655,Corinna Mitchell,Home Office,Stockholm,Stockholm,United States,90008.0
214,JC-6105,Julie Creighton,Corporate,Izmir,Izmir,Turkey,
215,GB-14530,George Bell,Corporate,Los Angeles,California,United States,90049.0
216,JH-16180,Justin Hirsh,Consumer,Chinautla,Guatemala,Italy,19140.0
217,MT-8070,Michelle Tran,Home Office,Gaziantep,Gaziantep,Turkey,
218,CV-2805,Cynthia Voltz,Corporate,Galati,Galati,Romania,
219,NH-18610,Nicole Hansen,Corporate,Jakarta,Jakarta,Indonesia,19120.0
220,HJ-14875,Heather Jas,Home Office,Ipoh,Madrid,France,85204.0
221,JL-15175,James Lanier,Home Office,Bangkok,Bahia,United States,85224.0
222,MY-18295,Muhammed Yedwab,Corporate,Poza Rica de Hidalgo,Sichuan,United States,21215.0
223,MW-18235,Mitch Willingham,Corporate,Le Blanc-Mesnil,Ile-de-France,Brazil,23464.0
224,KC-16540,Kelly Collister,Consumer,Geraldton,Western Australia,Dominican Republic,92037.0
225,HA-14920,Helen Andreada,Consumer,Depok,California,United States,78041.0
226,MT-17815,Meg Tillman,Consumer,Dhaka,Dhaka,United States,39212.0
227,FW-14395,Fred Wasserman,Corporate,Dhaka,Dhaka,Bangladesh,10011.0
228,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,United States,90032.0
229,DK-12895,Dana Kaydos,Consumer,Seattle,Washington,United States,98103.0
230,SC-20845,Sung Chung,Consumer,Presidente Dutra,Baja California,Mexico,80027.0
231,CY-12745,Craig Yedwab,Corporate,Granada,Andalusía,United States,60610.0
232,HL-15040,Hunter Lopez,Consumer,Jonesboro,San Salvador,United States,72401.0
233,CT-11995,Carol Triggs,Consumer,Hirakata,Arizona,United States,85705.0
234,GR-4560,Georgia Rosenberg,Corporate,Istanbul,Istanbul,Turkey,
235,TT-21070,Ted Trevino,Consumer,Port Moresby,National Capital,United States,98103.0
236,PO-19195,Phillina Ober,Home Office,Blumenau,Santa Catarina,Brazil,7002.0
237,ED-13885,Emily Ducich,Home Office,Houston,Texas,United States,77095.0
238,TM-21490,Tony Molinari,Consumer,Viersen,North Rhine-Westphalia,France,10701.0
239,AW-10840,Anthony Witt,Consumer,Hamburg,Hamburg,Germany,93309.0
240,AT-10735,Annie Thurman,Consumer,Champigny-sur-Marne,Ile-de-France,United States,10009.0
241,SG-10605,Speros Goranitis,Consumer,Ankara,Ankara,Turkey,
242,BM-11785,Bryan Mills,Consumer,Columbus,Nelson,United States,43229.0
243,DK-13375,Dennis Kane,Consumer,Seattle,Washington,United States,98105.0
244,PF-19225,Phillip Flathmann,Consumer,Upper Hutt,California,Germany,90032.0
245,TG-21310,Toby Gnade,Consumer,Berlin,Berlin,France,85204.0
246,SF-10200,Sarah Foster,Consumer,Plzen,Plzen,Czech Republic,
247,JW-5220,Jane Waco,Corporate,Maputo,Cidade De Maputo,Mozambique,
248,CC-12100,Chad Cunningham,Home Office,Rome,Lazio,United States,19120.0
249,RD-19930,Russell D'Ascenzo,Consumer,Kathmandu,Texas,United States,75217.0
250,BP-1230,Benjamin Patterson,Consumer,Port Harcourt,Rivers,Nigeria,
251,CS-12175,Charles Sheldon,Corporate,Toowoomba,Queensland,Australia,94122.0
252,JD-16060,Julia Dunbar,Consumer,Rochester,Midi-Pyrénées,France,55901.0
253,GH-14665,Greg Hansen,Consumer,London,England,United Kingdom,78664.0
254,CM-11935,Carlos Meador,Consumer,Hamm,North Rhine-Westphalia,Germany,28314.0
255,RB-9465,Rick Bensley,Home Office,Mosul,Ninawa,Iraq,
256,RB-19795,Ross Baird,Home Office,Mixco,São Paulo,United States,19120.0
257,DL-13495,Dionis Lloyd,Corporate,Apopa,San Salvador,United States,48227.0
258,TS-21205,Thomas Seio,Corporate,Nashville,Tennessee,United States,37211.0
259,MV-8190,Mike Vittorini,Consumer,Lagos,Lagos,Nigeria,
260,BD-11560,Brendan Dodson,Home Office,Fresno,California,Germany,93727.0
261,PS-18760,Pamela Stobb,Consumer,Los Angeles,California,United States,90008.0
262,FM-14215,Filia McAdams,Corporate,Essen,North Rhine-Westphalia,United States,40475.0
263,CA-12775,Cynthia Arntzen,Consumer,Philadelphia,Pennsylvania,United States,19140.0
264,CD-12790,Cynthia Delaney,Home Office,Oklahoma City,California,United States,73120.0
265,NL-18310,Nancy Lomonaco,Home Office,Danville,California,United States,94526.0
266,TB-21055,Ted Butterfield,Consumer,Singapore,Singapore,United States,12180.0
267,EH-4125,Eugene Hildebrand,Home Office,Cairo,Al Qahirah,Turkey,
268,KB-16600,Ken Brennan,Corporate,Ho Chi Minh City,Ho Chí Minh City,United States,77041.0
269,KW-16435,Katrina Willman,Consumer,Arraiján,Bavaria,United States,10009.0
270,MG-17695,Maureen Gnade,Consumer,Turin,Piedmont,Australia,19134.0
271,HM-14860,Harry Marie,Corporate,Rennes,England,United States,75217.0
272,BP-11290,Beth Paige,Consumer,Cologne,Illinois,United States,43229.0
273,HZ-4950,Henia Zydlo,Consumer,Amasya,Amasya,Turkey,
274,TC-20980,Tamara Chand,Corporate,Tegucigalpa,Francisco Morazán,United States,47905.0
275,EM-13825,Elizabeth Moffitt,Corporate,Sioux Falls,South Dakota,United States,57103.0
276,BS-11800,Bryan Spruell,Home Office,New York City,Languedoc-Roussillon,France,10011.0
277,DV-13465,Dianna Vittorini,Consumer,Mejicanos,San Salvador,United States,80219.0
278,MB-17305,Maria Bertelson,Consumer,Columbus,Ohio,United States,43229.0
279,PC-19000,Pauline Chand,Home Office,Crotone,Calabria,Australia,90004.0
280,CA-12310,Christine Abelman,Corporate,Bristol,Connecticut,United States,6010.0
281,KC-16255,Karen Carlisle,Corporate,Henderson,Kentucky,United States,42420.0
282,DB-3660,Duane Benoit,Consumer,Cairo,Al Qahirah,Egypt,
283,SC-20260,Scott Cohen,Corporate,Bahawalpur,Ho Chí Minh City,United States,10009.0
284,BD-11500,Bradley Drucker,Consumer,Chinandega,Chinandega,United States,60653.0
285,BM-11140,Becky Martin,Consumer,San Antonio,Cortés,United States,78207.0
286,KB-16315,Karl Braun,Consumer,Akron,Jawa Barat,United States,44312.0
287,JM-15865,John Murray,Consumer,Stoke-on-Trent,England,France,85023.0
288,AF-10885,Art Foster,Consumer,Bayeux,Distrito Federal,France,19134.0
289,SJ-20500,Shirley Jackson,Consumer,Bologna,Emilia-Romagna,France,6824.0
290,WB-21850,William Brown,Consumer,Anaheim,California,United States,92804.0
291,CC-12610,Corey Catlett,Corporate,Chapecó,North Rhine-Westphalia,United States,22153.0
292,BE-11455,Brad Eason,Home Office,Gold Coast,Queensland,United States,2908.0
293,TG-21640,Trudy Glocke,Consumer,La Plata,Managua,United States,33614.0
294,MS-17365,Maribeth Schnelling,Consumer,San Salvador,San Salvador,United States,54401.0
295,NP-18685,Nora Pelletier,Home Office,Manila,Managua,Brazil,14304.0
296,RM-19675,Robert Marley,Home Office,Vienna,Vienna,United States,71203.0
297,SN-20560,Skye Norling,Home Office,Paterson,Francisco Morazán,United States,7501.0
298,CD-12280,Christina DeMoss,Consumer,New York City,New York,United States,10024.0
299,BG-11035,Barry Gonzalez,Consumer,Sydney,Minas Gerais,United States,78745.0
300,CC-12550,Clay Cheatham,Consumer,Broken Hill,New South Wales,Australia,90008.0
301,SV-20785,Stewart Visinsky,Consumer,Philadelphia,California,United States,19140.0
302,HW-14935,Helen Wasserman,Corporate,Indianapolis,Ile-de-France,United States,46203.0
303,AS-10285,Alejandro Savely,Corporate,Kanpur,Uttar Pradesh,India,75081.0
304,LD-16855,Lela Donovan,Corporate,San Justo,Santa Fe,Indonesia,60653.0
305,NS-18505,Neola Schneider,Consumer,Belfort,Puebla,United States,75217.0
306,CM-12715,Craig Molinari,Corporate,Huntsville,Texas,United States,77340.0
307,JD-6060,Julia Dunbar,Consumer,Johannesburg,Gauteng,South Africa,
308,MG-17680,Maureen Gastineau,Home Office,Qitaihe,Heilongjiang,United States,44060.0
309,DB-13210,Dean Braden,Consumer,Detroit,England,United States,48234.0
310,CS-11860,Cari Schnelling,Consumer,Chinandega,England,United States,10011.0
311,GG-14650,Greg Guthrie,Corporate,Los Angeles,California,United States,90049.0
312,BN-11470,Brad Norvell,Corporate,Bangkok,Bangkok,China,27511.0
313,BS-1665,Brian Stugart,Consumer,Dakar,Dakar,Senegal,
314,AC-10450,Amy Cox,Consumer,Santo Domingo,Florida,United States,10011.0
315,CK-12205,Chloris Kastensmidt,Consumer,Manila,National Capital,United States,19120.0
316,JD-16150,Justin Deggeller,Corporate,Sydney,England,United States,53209.0
317,CC-2550,Clay Cheatham,Consumer,Alexandria,Al Iskandariyah,Egypt,
318,MS-17830,Melanie Seite,Consumer,Santa Ana,Ile-de-France,Australia,78041.0
319,SM-20950,Suzanne McNair,Corporate,Tepic,Nayarit,United States,19134.0
320,CL-12700,Craig Leslie,Home Office,Kulti,England,Mexico,80906.0
321,CM-12160,Charles McCrossin,Consumer,Bacolod City,Western Visayas,France,19143.0
322,JC-15775,John Castell,Consumer,Philadelphia,Pennsylvania,United States,19143.0
323,LH-16900,Lena Hernandez,Consumer,Mexico City,Bahia,United States,27834.0
324,DV-13045,Darrin Van Huff,Corporate,Pekanbaru,Distrito Federal,Indonesia,32216.0
325,BT-11530,Bradley Talbott,Home Office,Los Angeles,California,United States,90036.0
326,BM-1650,Brian Moss,Corporate,Kermanshah,Kermanshah,Iran,
327,MG-18205,Mitch Gastineau,Corporate,Auckland,Maharashtra,India,32216.0
328,RB-19705,Roger Barcio,Home Office,New York City,Guangdong,China,10035.0
329,FC-14245,Frank Carlisle,Home Office,Piedecuesta,Santander,United States,94109.0
330,TT-21220,Thomas Thornton,Consumer,Yangon,Yangon,United States,77041.0
331,SJ-20215,Sarah Jordon,Consumer,Medan,Sumatera Utara,United States,60653.0
332,PB-18805,Patrick Bzostek,Home Office,Jhansi,Uttar Pradesh,United States,98115.0
333,RW-19690,Robert Waldorf,Consumer,Springfield,Fujian,United States,65807.0
334,DB-3360,Dennis Bolton,Home Office,Yaounde,Centre,Cameroon,
335,DK-13150,David Kendrick,Corporate,Berlin,Berlin,Germany,10009.0
336,RW-9540,Rick Wilson,Corporate,Cape Town,Western Cape,South Africa,
337,MP-17470,Mark Packer,Home Office,New York City,New York,United States,10035.0
338,TB-21625,Trudy Brown,Consumer,New York City,New York,United States,10009.0
339,MO-17800,Meg O'Connel,Home Office,Singapore,Guatemala,United States,60653.0
340,MR-17545,Mathew Reese,Home Office,Villemomble,North Rhine-Westphalia,Germany,10024.0
341,LC-17050,Liz Carlisle,Consumer,Auckland,Auckland,United States,44256.0
