customer_id,customer_name,segment,country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Label
AB-15,Aaron Bergman,Consumer,Zambia,413,5,4595.9400000000005,1,1,3,113,Others,3,Inactive/Churned
AB-150,Aimee Bixby,Consumer,Iran,399,4,3143.88,1,1,3,113,Others,3,Inactive/Churned
AB-165,Alan Barnes,Consumer,Canada,17,6,1399.77,4,2,2,422,New Customers,1,Low-Value Occasional
AB-255,Alejandro Ballentine,Home Office,Morocco,44,8,4654.78,3,2,3,323,Potential Loyalists,1,Low-Value Occasional
AB-60,Adam Bellavance,Home Office,South Africa,36,6,1690.52,3,2,2,322,Potential Loyalists,1,Low-Value Occasional
AB-600,Ann Blume,Corporate,Poland,8,5,5402.43,5,1,3,513,New Customers,1,Low-Value Occasional
AC-10420,Alyssa Crouse,Corporate,China,7,24,10528.34,5,4,4,544,Champions,2,Mid-Value Active
AC-10450,Amy Cox,Consumer,India,6,19,16106.44,5,3,5,535,Loyal Customers,2,Mid-Value Active
AC-10615,Ann Chong,Corporate,United States,7,25,12226.14,5,4,4,544,Champions,2,Mid-Value Active
AC-10660,Anna Chung,Consumer,Vietnam,3,20,6114.68,5,3,3,533,Loyal Customers,2,Mid-Value Active
AC-420,Alyssa Crouse,Corporate,Iraq,14,7,1596.92,4,2,2,422,New Customers,1,Low-Value Occasional
AC-450,Amy Cox,Consumer,South Africa,182,7,1020.78,1,2,1,121,Lost Customers,1,Low-Value Occasional
AC-615,Ann Chong,Corporate,Kenya,93,7,2245.06,2,2,2,222,Lost Customers,1,Low-Value Occasional
AC-660,Anna Chung,Consumer,Cameroon,120,3,2667.6,2,1,2,212,Lost Customers,1,Low-Value Occasional
AD-10180,Alan Dominguez,Home Office,Indonesia,30,23,17728.28,3,4,5,345,Loyal Customers,0,High-Value Customers
AD-180,Alan Dominguez,Home Office,Turkey,6,2,642.5,5,1,1,511,New Customers,1,Low-Value Occasional
AF-10870,Art Ferguson,Consumer,Belgium,7,34,26369.78,5,5,5,555,Champions,0,High-Value Customers
AF-10885,Art Foster,Consumer,France,54,34,19596.16,3,5,5,355,Loyal Customers,0,High-Value Customers
AF-870,Art Ferguson,Consumer,Iran,13,7,1652.91,5,2,2,522,New Customers,1,Low-Value Occasional
AF-885,Art Foster,Consumer,Democratic Republic of the Congo,168,2,311.55,1,1,1,111,Lost Customers,1,Low-Value Occasional
AG-10270,Alejandro Grove,Consumer,New Zealand,41,25,10519.26,3,4,4,344,Loyal Customers,2,Mid-Value Active
AG-10300,Aleksandra Gannaway,Corporate,New Zealand,3,23,12936.94,5,4,4,544,Champions,2,Mid-Value Active
AG-10330,Alex Grayson,Consumer,Indonesia,9,28,14361.81,5,5,5,555,Champions,0,High-Value Customers
AG-10390,Allen Goldenen,Consumer,Australia,115,18,8358.59,2,3,3,233,At Risk,2,Mid-Value Active
AG-10495,Andrew Gjertsen,Corporate,China,79,26,15274.87,2,4,5,245,At Risk,0,High-Value Customers
AG-10525,Andy Gerbode,Corporate,Mexico,13,20,8370.17,5,3,3,533,Loyal Customers,2,Mid-Value Active
AG-10675,Anna Gayman,Consumer,United States,48,20,12809.0,3,3,4,334,Loyal Customers,2,Mid-Value Active
AG-10765,Anthony Garverick,Home Office,India,29,24,9552.6,4,4,3,443,Loyal Customers,2,Mid-Value Active
AG-10900,Arthur Gainer,Consumer,Mexico,58,29,18123.26,2,5,5,255,At Risk,0,High-Value Customers
AG-270,Alejandro Grove,Consumer,Czech Republic,121,6,2753.22,2,2,2,222,Lost Customers,1,Low-Value Occasional
AG-300,Aleksandra Gannaway,Corporate,Nigeria,99,6,1643.02,2,2,2,222,Lost Customers,1,Low-Value Occasional
AG-330,Alex Grayson,Consumer,Sudan,3,5,491.29,5,1,1,511,New Customers,1,Low-Value Occasional
AG-390,Allen Goldenen,Consumer,Uganda,723,2,406.4,1,1,1,111,Lost Customers,3,Inactive/Churned
AG-495,Andrew Gjertsen,Corporate,Namibia,49,9,947.06,3,3,1,331,Need Attention,1,Low-Value Occasional
AG-525,Andy Gerbode,Corporate,Iran,29,5,2850.99,4,1,2,412,New Customers,1,Low-Value Occasional
AG-675,Anna Gayman,Consumer,Austria,182,8,2185.12,1,2,2,122,Lost Customers,1,Low-Value Occasional
AG-765,Anthony Garverick,Home Office,Austria,115,8,1828.04,2,2,2,222,Lost Customers,1,Low-Value Occasional
AG-900,Arthur Gainer,Consumer,Tanzania,24,2,1665.39,4,1,2,412,New Customers,1,Low-Value Occasional
AH-10030,Aaron Hawkins,Corporate,Austria,29,26,14376.14,4,4,5,445,Champions,2,Mid-Value Active
AH-10075,Adam Hart,Corporate,Mexico,3,27,17912.03,5,5,5,555,Champions,0,High-Value Customers
AH-10120,Adrian Hane,Home Office,Mexico,136,19,9676.15,2,3,4,234,At Risk,2,Mid-Value Active
AH-10195,Alan Haines,Corporate,El Salvador,50,24,12599.76,3,4,4,344,Loyal Customers,2,Mid-Value Active
AH-10210,Alan Hwang,Consumer,Brazil,7,31,20264.03,5,5,5,555,Champions,0,High-Value Customers
AH-10465,Amy Hunt,Consumer,Nicaragua,71,19,8510.72,2,3,3,233,At Risk,2,Mid-Value Active
AH-10585,Angele Hood,Consumer,Australia,22,21,9094.14,4,4,3,443,Loyal Customers,2,Mid-Value Active
AH-10690,Anna Häberlin,Corporate,Australia,31,30,16173.95,3,5,5,355,Loyal Customers,0,High-Value Customers
AH-120,Adrian Hane,Home Office,South Africa,600,3,1450.08,1,1,2,112,Lost Customers,3,Inactive/Churned
AH-195,Alan Haines,Corporate,Iran,279,8,2613.51,1,2,2,122,Lost Customers,1,Low-Value Occasional
AH-210,Alan Hwang,Consumer,Egypt,458,4,3272.23,1,1,3,113,Others,3,Inactive/Churned
AH-30,Aaron Hawkins,Corporate,Democratic Republic of the Congo,469,6,6253.35,1,2,3,123,Hibernating,3,Inactive/Churned
AH-465,Amy Hunt,Consumer,South Africa,242,4,650.83,1,1,1,111,Lost Customers,1,Low-Value Occasional
AH-585,Angele Hood,Consumer,Iran,76,9,2207.29,2,3,2,232,At Risk,1,Low-Value Occasional
AH-690,Anna Häberlin,Corporate,Egypt,787,3,1792.64,1,1,2,112,Lost Customers,3,Inactive/Churned
AH-75,Adam Hart,Corporate,South Africa,38,7,3586.5,3,2,3,323,Potential Loyalists,1,Low-Value Occasional
AI-10855,Arianne Irving,Consumer,Australia,14,20,8319.62,4,3,3,433,Loyal Customers,2,Mid-Value Active
AI-855,Arianne Irving,Consumer,Turkey,204,4,863.49,1,1,1,111,Lost Customers,1,Low-Value Occasional
AJ-10780,Anthony Jacobs,Corporate,Afghanistan,49,23,15041.56,3,4,5,345,Loyal Customers,2,Mid-Value Active
AJ-10795,Anthony Johnson,Corporate,United States,63,19,8502.85,2,3,3,233,At Risk,2,Mid-Value Active
AJ-10945,Ashley Jarboe,Consumer,Mexico,29,25,10945.24,4,4,4,444,Champions,2,Mid-Value Active
AJ-10960,Astrea Jones,Consumer,France,49,16,8554.36,3,3,3,333,Loyal Customers,2,Mid-Value Active
AJ-780,Anthony Jacobs,Corporate,Iran,2,11,2458.4,5,3,2,532,Potential Loyalists,1,Low-Value Occasional
AJ-795,Anthony Johnson,Corporate,Sudan,37,10,3372.16,3,3,3,333,Loyal Customers,1,Low-Value Occasional
AJ-945,Ashley Jarboe,Consumer,Senegal,105,6,4836.15,2,2,3,223,Hibernating,1,Low-Value Occasional
AJ-960,Astrea Jones,Consumer,Morocco,295,9,4592.41,1,3,3,133,At Risk,3,Inactive/Churned
AM-10360,Alice McCarthy,Corporate,United Kingdom,16,33,16455.59,4,5,5,455,Champions,0,High-Value Customers
AM-10705,Anne McFarland,Consumer,Indonesia,26,28,24049.58,4,5,5,455,Champions,0,High-Value Customers
AM-360,Alice McCarthy,Corporate,Mongolia,176,5,2010.63,1,1,2,112,Lost Customers,1,Low-Value Occasional
AM-705,Anne McFarland,Consumer,Belarus,137,6,1303.77,2,2,1,221,Lost Customers,1,Low-Value Occasional
AO-10810,Anthony O'Donnell,Corporate,United Kingdom,70,24,14295.91,2,4,5,245,At Risk,2,Mid-Value Active
AO-810,Anthony O'Donnell,Corporate,Canada,342,2,411.72,1,1,1,111,Lost Customers,3,Inactive/Churned
AP-10720,Anne Pryor,Home Office,India,42,18,15235.81,3,3,5,335,Loyal Customers,2,Mid-Value Active
AP-10915,Arthur Prichep,Consumer,China,77,31,15770.38,2,5,5,255,At Risk,0,High-Value Customers
AP-720,Anne Pryor,Home Office,Hungary,128,4,858.48,2,1,1,211,Lost Customers,1,Low-Value Occasional
AP-915,Arthur Prichep,Consumer,Moldova,93,5,2654.73,2,1,2,212,Lost Customers,1,Low-Value Occasional
AR-10345,Alex Russell,Corporate,Mexico,30,26,13968.13,3,4,4,344,Loyal Customers,2,Mid-Value Active
AR-10405,Allen Rosenblatt,Corporate,United States,55,22,8867.14,3,4,3,343,Loyal Customers,2,Mid-Value Active
AR-10510,Andrew Roberts,Consumer,Italy,63,27,14192.67,2,5,5,255,At Risk,2,Mid-Value Active
AR-10540,Andy Reiter,Consumer,United States,122,12,7925.97,2,3,3,233,At Risk,1,Low-Value Occasional
AR-10570,Anemone Ratner,Consumer,Australia,3,17,9416.13,5,3,3,533,Loyal Customers,2,Mid-Value Active
AR-10825,Anthony Rawles,Corporate,United States,23,37,15233.76,4,5,5,455,Champions,0,High-Value Customers
AR-345,Alex Russell,Corporate,Zambia,142,8,2290.5,2,2,2,222,Lost Customers,1,Low-Value Occasional
AR-405,Allen Rosenblatt,Corporate,Ukraine,223,6,555.02,1,2,1,121,Lost Customers,1,Low-Value Occasional
AR-510,Andrew Roberts,Consumer,Turkey,241,9,2592.81,1,3,2,132,At Risk,1,Low-Value Occasional
AR-540,Andy Reiter,Consumer,Iran,222,7,522.22,1,2,1,121,Lost Customers,1,Low-Value Occasional
AR-570,Anemone Ratner,Consumer,Iran,71,8,2005.96,2,2,2,222,Lost Customers,1,Low-Value Occasional
AR-825,Anthony Rawles,Corporate,Morocco,75,6,1904.03,2,2,2,222,Lost Customers,1,Low-Value Occasional
AS-10045,Aaron Smayling,Corporate,United States,24,27,12578.25,4,5,4,454,Champions,2,Mid-Value Active
AS-10090,Adam Shillingsburg,Consumer,United Kingdom,29,28,14847.65,4,5,5,455,Champions,0,High-Value Customers
AS-10135,Adrian Shami,Home Office,India,42,17,7139.95,3,3,3,333,Loyal Customers,2,Mid-Value Active
AS-10225,Alan Schoenberger,Corporate,China,13,25,21219.99,5,4,5,545,Champions,0,High-Value Customers
AS-10240,Alan Shonely,Consumer,Australia,13,27,8703.22,5,5,3,553,Loyal Customers,2,Mid-Value Active
AS-10285,Alejandro Savely,Corporate,India,19,27,16026.02,4,5,5,455,Champions,0,High-Value Customers
AS-10630,Ann Steele,Home Office,New Zealand,36,15,9734.75,3,3,4,334,Loyal Customers,2,Mid-Value Active
AS-135,Adrian Shami,Home Office,Israel,93,4,3954.09,2,1,3,213,Others,1,Low-Value Occasional
AS-225,Alan Schoenberger,Corporate,Iran,20,6,395.85,4,2,1,421,New Customers,1,Low-Value Occasional
AS-240,Alan Shonely,Consumer,Estonia,499,4,1681.7099999999998,1,1,2,112,Lost Customers,3,Inactive/Churned
AS-285,Alejandro Savely,Corporate,Russia,223,11,4862.52,1,3,3,133,At Risk,1,Low-Value Occasional
AS-45,Aaron Smayling,Corporate,South Africa,234,3,1579.83,1,1,2,112,Lost Customers,1,Low-Value Occasional
AS-630,Ann Steele,Home Office,Nigeria,34,5,1860.03,3,1,2,312,Potential Loyalists,1,Low-Value Occasional
AS-90,Adam Shillingsburg,Consumer,Morocco,22,4,425.36,4,1,1,411,New Customers,1,Low-Value Occasional
AT-10435,Alyssa Tate,Home Office,Mexico,13,20,13599.95,5,3,4,534,Loyal Customers,2,Mid-Value Active
AT-10735,Annie Thurman,Consumer,United States,3,27,12908.08,5,5,4,554,Champions,2,Mid-Value Active
AT-435,Alyssa Tate,Home Office,Ethiopia,29,12,1172.98,4,3,1,431,Others,1,Low-Value Occasional
AT-735,Annie Thurman,Consumer,Romania,457,3,295.59000000000003,1,1,1,111,Lost Customers,3,Inactive/Churned
AW-10840,Anthony Witt,Consumer,Netherlands,17,24,13071.77,4,4,4,444,Champions,2,Mid-Value Active
AW-10930,Arthur Wiediger,Home Office,United Kingdom,36,18,10158.42,3,3,4,334,Loyal Customers,2,Mid-Value Active
AW-840,Anthony Witt,Consumer,Romania,57,7,1911.69,2,2,2,222,Lost Customers,1,Low-Value Occasional
AW-930,Arthur Wiediger,Home Office,Iraq,171,4,761.58,1,1,1,111,Lost Customers,1,Low-Value Occasional
AY-10555,Andy Yotov,Corporate,United Kingdom,15,15,5438.6,4,3,3,433,Loyal Customers,1,Low-Value Occasional
AY-555,Andy Yotov,Corporate,Egypt,36,11,3018.26,3,3,2,332,Potential Loyalists,1,Low-Value Occasional
AZ-10750,Annie Zypern,Consumer,Nicaragua,71,18,9526.95,2,3,3,233,At Risk,2,Mid-Value Active
AZ-750,Annie Zypern,Consumer,Mozambique,27,10,2132.39,4,3,2,432,Potential Loyalists,1,Low-Value Occasional
BB-10990,Barry Blumstein,Corporate,Dominican Republic,15,27,8934.44,4,5,3,453,Loyal Customers,2,Mid-Value Active
BB-11545,Brenda Bowman,Corporate,Germany,29,24,15747.41,4,4,5,445,Champions,0,High-Value Customers
BB-1545,Brenda Bowman,Corporate,Morocco,50,4,199.68,3,1,1,311,Others,1,Low-Value Occasional
BB-990,Barry Blumstein,Corporate,Sudan,51,7,822.29,3,2,1,321,Others,1,Low-Value Occasional
BC-11125,Becky Castell,Home Office,New Zealand,34,28,14614.7,3,5,5,355,Loyal Customers,0,High-Value Customers
BC-1125,Becky Castell,Home Office,Turkey,132,4,349.08,2,1,1,211,Lost Customers,1,Low-Value Occasional
BD-11320,Bill Donatelli,Consumer,United States,6,30,12960.05,5,5,4,554,Champions,2,Mid-Value Active
BD-11500,Bradley Drucker,Consumer,United States,20,26,13070.25,4,4,4,444,Champions,2,Mid-Value Active
BD-11560,Brendan Dodson,Home Office,United Kingdom,8,19,9306.97,5,3,3,533,Loyal Customers,2,Mid-Value Active
BD-11605,Brian Dahlen,Consumer,Australia,98,18,9128.63,2,3,3,233,At Risk,2,Mid-Value Active
BD-11620,Brian DeCherney,Consumer,Spain,50,23,7489.36,3,4,3,343,Loyal Customers,2,Mid-Value Active
BD-11635,Brian Derr,Consumer,Australia,10,23,11167.05,5,4,4,544,Champions,2,Mid-Value Active
BD-11725,Bruce Degenhardt,Consumer,Guatemala,5,29,10848.77,5,5,4,554,Champions,2,Mid-Value Active
BD-11770,Bryan Davis,Consumer,France,76,24,10123.72,2,4,4,244,At Risk,2,Mid-Value Active
BD-1320,Bill Donatelli,Consumer,Iran,50,5,1851.39,3,1,2,312,Potential Loyalists,1,Low-Value Occasional
BD-1500,Bradley Drucker,Consumer,Nigeria,399,2,39.28,1,1,1,111,Lost Customers,3,Inactive/Churned
BD-1560,Brendan Dodson,Home Office,Czech Republic,91,5,1545.12,2,1,2,212,Lost Customers,1,Low-Value Occasional
BD-1605,Brian Dahlen,Consumer,Israel,276,5,689.64,1,1,1,111,Lost Customers,1,Low-Value Occasional
BD-1620,Brian DeCherney,Consumer,Iraq,118,11,2900.52,2,3,2,232,At Risk,1,Low-Value Occasional
BD-1635,Brian Derr,Consumer,Iraq,325,8,5639.92,1,2,3,123,Hibernating,3,Inactive/Churned
BD-1725,Bruce Degenhardt,Consumer,Israel,117,12,4975.28,2,3,3,233,At Risk,1,Low-Value Occasional
BD-1770,Bryan Davis,Consumer,Turkey,239,5,3399.65,1,1,3,113,Others,1,Low-Value Occasional
BE-11335,Bill Eplett,Home Office,Mexico,36,35,27021.49,3,5,5,355,Loyal Customers,0,High-Value Customers
BE-11410,Bobby Elias,Consumer,Germany,85,28,16416.14,2,5,5,255,At Risk,0,High-Value Customers
BE-11455,Brad Eason,Home Office,Australia,4,26,17523.76,5,4,5,545,Champions,0,High-Value Customers
BE-1335,Bill Eplett,Home Office,Cote d'Ivoire,573,4,1307.82,1,1,1,111,Lost Customers,3,Inactive/Churned
BE-1410,Bobby Elias,Consumer,Guinea,22,6,1850.74,4,2,2,422,New Customers,1,Low-Value Occasional
BE-1455,Brad Eason,Home Office,Angola,147,2,1173.42,1,1,1,111,Lost Customers,1,Low-Value Occasional
BF-1005,Barry Franz,Home Office,Niger,735,2,727.83,1,1,1,111,Lost Customers,3,Inactive/Churned
BF-1020,Barry Französisch,Corporate,Cote d'Ivoire,97,7,2976.42,2,2,2,222,Lost Customers,1,Low-Value Occasional
BF-1080,Bart Folk,Consumer,Canada,210,6,3778.54,1,2,3,123,Hibernating,1,Low-Value Occasional
BF-10975,Barbara Fisher,Corporate,France,36,19,8043.48,3,3,3,333,Loyal Customers,2,Mid-Value Active
BF-11005,Barry Franz,Home Office,India,9,23,23196.19,5,4,5,545,Champions,0,High-Value Customers
BF-11020,Barry Französisch,Corporate,United States,16,23,10076.09,4,4,4,444,Champions,2,Mid-Value Active
BF-11080,Bart Folk,Consumer,Australia,26,20,10119.89,4,3,4,434,Loyal Customers,2,Mid-Value Active
BF-11170,Ben Ferrer,Home Office,United States,17,29,22239.8,4,5,5,455,Champions,0,High-Value Customers
BF-11215,Benjamin Farhat,Home Office,Nicaragua,27,25,12887.89,4,4,4,444,Champions,2,Mid-Value Active
BF-11275,Beth Fritzler,Corporate,Dominican Republic,7,23,9571.8,5,4,3,543,Loyal Customers,2,Mid-Value Active
BF-1170,Ben Ferrer,Home Office,Zambia,194,6,904.92,1,2,1,121,Lost Customers,1,Low-Value Occasional
BF-1215,Benjamin Farhat,Home Office,Zimbabwe,118,5,393.27,2,1,1,211,Lost Customers,1,Low-Value Occasional
BF-1275,Beth Fritzler,Corporate,Turkey,129,6,975.93,2,2,1,221,Lost Customers,1,Low-Value Occasional
BF-975,Barbara Fisher,Corporate,Rwanda,23,7,1698.48,4,2,2,422,New Customers,1,Low-Value Occasional
BG-1035,Barry Gonzalez,Consumer,Lithuania,601,1,124.42,1,1,1,111,Lost Customers,3,Inactive/Churned
BG-11035,Barry Gonzalez,Consumer,Finland,29,32,19852.06,4,5,5,455,Champions,0,High-Value Customers
BG-11695,Brooke Gillingham,Corporate,Mexico,37,18,10655.99,3,3,4,334,Loyal Customers,2,Mid-Value Active
BG-11740,Bruce Geld,Consumer,Malaysia,7,21,14227.38,5,4,5,545,Champions,2,Mid-Value Active
BG-1695,Brooke Gillingham,Corporate,Togo,45,3,428.49,3,1,1,311,Others,1,Low-Value Occasional
BG-1740,Bruce Geld,Consumer,Turkey,17,4,646.8199999999999,4,1,1,411,New Customers,1,Low-Value Occasional
BH-11710,Brosina Hoffman,Consumer,Germany,24,28,23397.69,4,5,5,455,Champions,0,High-Value Customers
BH-1710,Brosina Hoffman,Consumer,Russia,94,10,4545.64,2,3,3,233,At Risk,1,Low-Value Occasional
BK-11260,Berenike Kampe,Consumer,Bangladesh,27,26,13272.36,4,4,4,444,Champions,2,Mid-Value Active
BK-1260,Berenike Kampe,Consumer,Libya,41,3,257.68,3,1,1,311,Others,1,Low-Value Occasional
BM-11140,Becky Martin,Consumer,United States,9,29,25271.2,5,5,5,555,Champions,0,High-Value Customers
BM-1140,Becky Martin,Consumer,Ukraine,251,5,1845.52,1,1,2,112,Lost Customers,1,Low-Value Occasional
BM-11575,Brendan Murry,Corporate,Australia,35,24,10261.18,3,4,4,344,Loyal Customers,2,Mid-Value Active
BM-11650,Brian Moss,Corporate,United States,34,22,14798.34,3,4,5,345,Loyal Customers,2,Mid-Value Active
BM-11785,Bryan Mills,Consumer,Mexico,3,33,18385.09,5,5,5,555,Champions,0,High-Value Customers
BM-1575,Brendan Murry,Corporate,Mauritania,198,8,1648.3,1,2,2,122,Lost Customers,1,Low-Value Occasional
BM-1650,Brian Moss,Corporate,Iran,482,7,2495.91,1,2,2,122,Lost Customers,3,Inactive/Churned
BM-1785,Bryan Mills,Consumer,Algeria,49,9,2228.43,3,3,2,332,Potential Loyalists,1,Low-Value Occasional
BN-11470,Brad Norvell,Corporate,Thailand,12,28,23333.57,5,5,5,555,Champions,0,High-Value Customers
BN-11515,Bradley Nguyen,Consumer,France,21,22,10186.79,4,4,4,444,Champions,2,Mid-Value Active
BN-1470,Brad Norvell,Corporate,Poland,23,7,2823.85,4,2,2,422,New Customers,1,Low-Value Occasional
BN-1515,Bradley Nguyen,Consumer,Iran,100,7,2595.45,2,2,2,222,Lost Customers,1,Low-Value Occasional
BO-11350,Bill Overfelt,Corporate,India,112,20,7425.43,2,3,3,233,At Risk,2,Mid-Value Active
BO-11425,Bobby Odegard,Consumer,Mexico,6,20,12343.79,5,3,4,534,Loyal Customers,2,Mid-Value Active
BO-1350,Bill Overfelt,Corporate,Niger,22,6,605.94,4,2,1,421,New Customers,1,Low-Value Occasional
BO-1425,Bobby Odegard,Consumer,Mali,2,8,2671.26,5,2,2,522,New Customers,1,Low-Value Occasional
BP-1050,Barry Pond,Corporate,Cote d'Ivoire,12,8,4945.27,5,2,3,523,New Customers,1,Low-Value Occasional
BP-1095,Bart Pistole,Corporate,Iraq,12,6,1752.95,5,2,2,522,New Customers,1,Low-Value Occasional
BP-11050,Barry Pond,Corporate,United Kingdom,6,18,5292.42,5,3,3,533,Loyal Customers,2,Mid-Value Active
BP-11095,Bart Pistole,Corporate,Sweden,3,30,8219.710000000001,5,5,3,553,Loyal Customers,2,Mid-Value Active
BP-11155,Becky Pak,Consumer,United Kingdom,33,22,13321.54,3,4,4,344,Loyal Customers,2,Mid-Value Active
BP-11185,Ben Peterman,Corporate,France,2,26,15260.01,5,4,5,545,Champions,0,High-Value Customers
BP-11230,Benjamin Patterson,Consumer,India,40,21,12498.12,3,4,4,344,Loyal Customers,2,Mid-Value Active
BP-11290,Beth Paige,Consumer,Singapore,13,28,12396.51,5,5,4,554,Champions,2,Mid-Value Active
BP-1155,Becky Pak,Consumer,Canada,262,6,1110.78,1,2,1,121,Lost Customers,1,Low-Value Occasional
BP-1185,Ben Peterman,Corporate,Turkey,6,9,1354.88,5,3,2,532,Potential Loyalists,1,Low-Value Occasional
BP-1230,Benjamin Patterson,Consumer,Cameroon,84,7,6078.7300000000005,2,2,3,223,Hibernating,1,Low-Value Occasional
BP-1290,Beth Paige,Consumer,Croatia,370,4,383.34,1,1,1,111,Lost Customers,3,Inactive/Churned
BS-11365,Bill Shonely,Corporate,France,1,26,22422.36,5,5,5,555,Champions,0,High-Value Customers
BS-11380,Bill Stewart,Corporate,Indonesia,29,23,17827.579999999998,4,4,5,445,Champions,0,High-Value Customers
BS-11590,Brendan Sweed,Corporate,France,36,23,11310.86,3,4,4,344,Loyal Customers,2,Mid-Value Active
BS-11665,Brian Stugart,Consumer,France,30,23,17428.63,3,4,5,345,Loyal Customers,0,High-Value Customers
BS-11755,Bruce Stewart,Consumer,Australia,2,29,17429.96,5,5,5,555,Champions,0,High-Value Customers
BS-11800,Bryan Spruell,Home Office,Indonesia,54,20,10812.38,3,3,4,334,Loyal Customers,2,Mid-Value Active
BS-1365,Bill Shonely,Corporate,Ghana,38,5,957.63,3,1,1,311,Others,1,Low-Value Occasional
BS-1380,Bill Stewart,Corporate,Iraq,132,4,454.73,2,1,1,211,Lost Customers,1,Low-Value Occasional
BS-1590,Brendan Sweed,Corporate,Croatia,238,4,807.9,1,1,1,111,Lost Customers,1,Low-Value Occasional
BS-1665,Brian Stugart,Consumer,Iran,153,7,5020.8,1,2,3,123,Hibernating,1,Low-Value Occasional
BS-1755,Bruce Stewart,Consumer,Nigeria,296,4,1630.76,1,1,2,112,Lost Customers,3,Inactive/Churned
BS-1800,Bryan Spruell,Home Office,South Africa,12,9,6353.75,5,3,3,533,Loyal Customers,1,Low-Value Occasional
BT-11305,Beth Thompson,Home Office,United States,29,22,10239.34,4,4,4,444,Champions,2,Mid-Value Active
BT-11395,Bill Tyler,Corporate,United Kingdom,29,22,11261.12,4,4,4,444,Champions,2,Mid-Value Active
BT-11440,Bobby Trafton,Consumer,Philippines,52,20,8150.01,3,3,3,333,Loyal Customers,2,Mid-Value Active
BT-11485,Brad Thomas,Home Office,Spain,31,29,8846.52,3,5,3,353,Loyal Customers,2,Mid-Value Active
BT-11530,Bradley Talbott,Home Office,India,34,24,13654.44,3,4,4,344,Loyal Customers,2,Mid-Value Active
BT-11680,Brian Thompson,Consumer,Japan,19,20,13975.64,4,3,4,434,Loyal Customers,2,Mid-Value Active
BT-1305,Beth Thompson,Home Office,Russia,32,10,1291.92,3,3,1,331,Need Attention,1,Low-Value Occasional
BT-1395,Bill Tyler,Corporate,Zimbabwe,34,3,441.68,3,1,1,311,Others,1,Low-Value Occasional
BT-1440,Bobby Trafton,Consumer,Turkey,122,7,2040.98,2,2,2,222,Lost Customers,1,Low-Value Occasional
BT-1485,Brad Thomas,Home Office,Saudi Arabia,135,7,2770.35,2,2,2,222,Lost Customers,1,Low-Value Occasional
BT-1530,Bradley Talbott,Home Office,Canada,353,5,1494.37,1,1,2,112,Lost Customers,3,Inactive/Churned
BT-1680,Brian Thompson,Consumer,Egypt,58,4,795.93,2,1,1,211,Lost Customers,1,Low-Value Occasional
BV-11245,Benjamin Venier,Corporate,Spain,45,22,20624.22,3,4,5,345,Loyal Customers,0,High-Value Customers
BV-1245,Benjamin Venier,Corporate,Iran,129,3,615.67,2,1,1,211,Lost Customers,1,Low-Value Occasional
BW-1065,Barry Weirich,Consumer,Democratic Republic of the Congo,23,5,9027.48,4,1,3,413,New Customers,1,Low-Value Occasional
BW-11065,Barry Weirich,Consumer,Germany,51,17,8394.46,3,3,3,333,Loyal Customers,2,Mid-Value Active
BW-1110,Bart Watters,Corporate,Ukraine,185,9,1665.81,1,3,2,132,At Risk,1,Low-Value Occasional
